instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	beach umbrella,flip flops,beach ball,sunscreen,beach towel	essential for a day at the beach
Use the Input below to identify the common property or characteristic shared by all these concepts.	celestial sphere,telescope,tripod,binoculars,filters	essential for astronomy
Use the Input below to identify the common property or characteristic shared by all these concepts.	measuring spoons,cooling rack,chopping board,mixing bowls,potholder	essential for baking
Use the Input below to identify the common property or characteristic shared by all these concepts.	hiking boots,birding app,bird identification guide,field guide,case	essential for bird watching
Use the Input below to identify the common property or characteristic shared by all these concepts.	bird guide,neck strap,bird food,camera,cleaning cloth	essential for birdwatching
Use the Input below to identify the common property or characteristic shared by all these concepts.	tents,dome tent,sleeping pad,sleeping bags,batteries	essential for camping
Use the Input below to identify the common property or characteristic shared by all these concepts.	bucket,vacuum cleaner,soap,dustpan,vaccuum cleaner	essential for cleaning
Use the Input below to identify the common property or characteristic shared by all these concepts.	drill,work gloves,saw,screws,drill bits	essential for construction
Use the Input below to identify the common property or characteristic shared by all these concepts.	work gloves,drill,hard hat,safety harness,hearing protection	essential for construction work
Use the Input below to identify the common property or characteristic shared by all these concepts.	ladle,spatula,wooden spoon,saucepan,frying pan	essential for cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	bike helmet,cycling shoes,pump,bicycle,bike pump	essential for cycling
Use the Input below to identify the common property or characteristic shared by all these concepts.	stud finder,wrench,pliers,screws,power drill	essential for diy projects
Use the Input below to identify the common property or characteristic shared by all these concepts.	sketchbook,sharpener,erasers,compass,ruler	essential for drawing
Use the Input below to identify the common property or characteristic shared by all these concepts.	keys,key,registration,headlights,gps	essential for driving
Use the Input below to identify the common property or characteristic shared by all these concepts.	tackle,fish hooks,fishing line,rod,bobbers	essential for fishing
Use the Input below to identify the common property or characteristic shared by all these concepts.	soil,seed packets,garden hoe,trowel,pruning shears	essential for gardening
Use the Input below to identify the common property or characteristic shared by all these concepts.	hair ties,hair dryer,hair clips,hair gel,straightening iron	essential for hair styling
Use the Input below to identify the common property or characteristic shared by all these concepts.	hair ties,bobby pins,hair dryer,hair spray,hair brush	essential for hairstyling
Use the Input below to identify the common property or characteristic shared by all these concepts.	hiking poles,walking stick,map,flashlight,water bottle	essential for hiking
Use the Input below to identify the common property or characteristic shared by all these concepts.	hammer,tool kit,tape measure,screwdriver,nails	essential for home repairs
Use the Input below to identify the common property or characteristic shared by all these concepts.	saddle,bimetal saddletree,bridle,reins,stirrups	essential for horseback riding
Use the Input below to identify the common property or characteristic shared by all these concepts.	ice skates,gloves,ice hockey stick,sharpening tool,snow pants	essential for ice skating
Use the Input below to identify the common property or characteristic shared by all these concepts.	headphones,stopwatch,water bottle,phone holder,hat	essential for jogging
Use the Input below to identify the common property or characteristic shared by all these concepts.	lipstick,mirror,mascara,makeup applicator,makeup brush	essential for makeup application
Use the Input below to identify the common property or characteristic shared by all these concepts.	artist palette,drop cloth,brush,easel,paint brush	essential for painting
Use the Input below to identify the common property or characteristic shared by all these concepts.	bathrobe,body wash,shower cap,shower gel,towels	essential for personal hygiene
Use the Input below to identify the common property or characteristic shared by all these concepts.	lighting equipment,digital camera,camera bag,memory card,photography camera	essential for photography
Use the Input below to identify the common property or characteristic shared by all these concepts.	balls,golf shoe,golf shoes,golf cart,ball	essential for playing golf
Use the Input below to identify the common property or characteristic shared by all these concepts.	tuner,guitar strings,acoustic guitar,tuning pegs,guitar pick	essential for playing guitar
Use the Input below to identify the common property or characteristic shared by all these concepts.	plectrum,reeds,shoulder rest,violin,sheet music	essential for playing music
Use the Input below to identify the common property or characteristic shared by all these concepts.	sheet music,musical keyboard,metronome,keyboard,bench	essential for playing piano
Use the Input below to identify the common property or characteristic shared by all these concepts.	ping pong paddle,ping pong paddles,table,ping pong net,ball	essential for playing ping pong
Use the Input below to identify the common property or characteristic shared by all these concepts.	soccer goalposts,corner flags,uniform,net,goal posts	essential for playing soccer
Use the Input below to identify the common property or characteristic shared by all these concepts.	tennis shoes,racket,tennis ball,tennis balls,tennis racquet	essential for playing tennis
Use the Input below to identify the common property or characteristic shared by all these concepts.	reading lamp,charger,bookshelf,pen,lamp	essential for reading
Use the Input below to identify the common property or characteristic shared by all these concepts.	canvas shoes,chalk,carabiners,carabiner,climbing shoes	essential for rock climbing
Use the Input below to identify the common property or characteristic shared by all these concepts.	athletic socks,hydration pack,running shorts,hair bands,sports watch	essential for running
Use the Input below to identify the common property or characteristic shared by all these concepts.	mask,scuba diving mask,scuba diving gear,regulator,scuba gear	essential for scuba diving
Use the Input below to identify the common property or characteristic shared by all these concepts.	sewing needle,tailor's tape measure,sewing machine,thimble,fabric	essential for sewing
Use the Input below to identify the common property or characteristic shared by all these concepts.	elbow,skateboard deck,grip tape,wheels,truck	essential for skateboarding
Use the Input below to identify the common property or characteristic shared by all these concepts.	boots,ski boots,ski lift ticket,goggles,ski poles	essential for skiing
Use the Input below to identify the common property or characteristic shared by all these concepts.	ski goggles,boots,goggles,snowboard boots,snow goggles	essential for snowboarding
Use the Input below to identify the common property or characteristic shared by all these concepts.	sky map,sky chart,eyepieces,lenses,star chart	essential for stargazing
Use the Input below to identify the common property or characteristic shared by all these concepts.	ruler,pen,book,desk organizer,highlighter	essential for studying
Use the Input below to identify the common property or characteristic shared by all these concepts.	surf leash,wax,wet suit,surfboard,swim fins	essential for surfing
Use the Input below to identify the common property or characteristic shared by all these concepts.	swimming goggles,towel,swimsuit,inflatable pool,goggles	essential for swimming
Use the Input below to identify the common property or characteristic shared by all these concepts.	travel itinerary,passport,travel pillow,luggage,suitcase	essential for traveling
Use the Input below to identify the common property or characteristic shared by all these concepts.	watercolor paint,brush,paint brushes,palette knives,paint	essential for watercolor painting
Use the Input below to identify the common property or characteristic shared by all these concepts.	workout gloves,kettlebell,bench,dumbbell,weight bench	essential for weightlifting
Use the Input below to identify the common property or characteristic shared by all these concepts.	welding torch,gloves,welding machine,safety glasses,welding mask	essential for welding
Use the Input below to identify the common property or characteristic shared by all these concepts.	sharpening stone,jigsaw,chisel set,saw,drill press	essential for woodworking
Use the Input below to identify the common property or characteristic shared by all these concepts.	yoga blocks,yoga mat,blocks,straps,yoga bolster	essential for yoga practice
Use the Input below to identify the common property or characteristic shared by all these concepts.	lurs,swiss people,mulattos,poles,ethnic minorities	ethnic groups
Use the Input below to identify the common property or characteristic shared by all these concepts.	parameciums,dinoflagellates,vascular plants,ciliates,humans	eukaryotes
Use the Input below to identify the common property or characteristic shared by all these concepts.	parthenogenesis,balls,compounding,endings,music festivals	events
Use the Input below to identify the common property or characteristic shared by all these concepts.	spruce,pine tree,cedar,christmas tree,pine trees	evergreen
Use the Input below to identify the common property or characteristic shared by all these concepts.	cycads,giant sequoias,tea plants,laurels,avocado trees	evergreens
Use the Input below to identify the common property or characteristic shared by all these concepts.	clues,testimony,experimental evidence,circumstantial evidence,identification	evidence
Use the Input below to identify the common property or characteristic shared by all these concepts.	people,if practices vanity person,humans,torture,schemes	evil
Use the Input below to identify the common property or characteristic shared by all these concepts.	orals,testing,searchs,checkups,litmus tests	examinations
Use the Input below to identify the common property or characteristic shared by all these concepts.	jumping rope,weight bench,foam roller,yoga mat,bicycle	exercise equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	squat,push-up,walking,pilates,yoga	exercises
Use the Input below to identify the common property or characteristic shared by all these concepts.	dragonfruit,avocado,papaya,pomegranate,honeydew melon	exotic fruits
Use the Input below to identify the common property or characteristic shared by all these concepts.	good time,time,trips,ordeals,vision	experience
Use the Input below to identify the common property or characteristic shared by all these concepts.	efficiency experts,veterans,therapists,authority,cosmetologists	experts
Use the Input below to identify the common property or characteristic shared by all these concepts.	justification,tutorials,rationales,reason,simplification	explanations
Use the Input below to identify the common property or characteristic shared by all these concepts.	acts,effusion,lamentations,records,congratulation	expression
Use the Input below to identify the common property or characteristic shared by all these concepts.	hands,toes,limbs,digits,fins	extremities
Use the Input below to identify the common property or characteristic shared by all these concepts.	eyeglasses,contacts,sunglasses,bifocals,prescription glasses	eyewear
Use the Input below to identify the common property or characteristic shared by all these concepts.	damasks,satin,buntings,abas,print	fabric
Use the Input below to identify the common property or characteristic shared by all these concepts.	placer mines,service stations,amenities,water systems,sewage systems	facilities
Use the Input below to identify the common property or characteristic shared by all these concepts.	generals,records,science facts,reincarnation,reason	facts
Use the Input below to identify the common property or characteristic shared by all these concepts.	malfunctions,loss,renal failure,nonconformity,crop failure	failure
Use the Input below to identify the common property or characteristic shared by all these concepts.	dancing,skiing,wrestles,wrestling,climbing	fall
Use the Input below to identify the common property or characteristic shared by all these concepts.	counseling,lies,sentence,facts taught to open mind,cake	false
Use the Input below to identify the common property or characteristic shared by all these concepts.	broken homes,dynasties,parents,extended families,houses	families
Use the Input below to identify the common property or characteristic shared by all these concepts.	statue of liberty,big ben,machu picchu,empire state building,the colosseum	famous landmarks
Use the Input below to identify the common property or characteristic shared by all these concepts.	dog,chickens,alpaca,goat,bull	farm animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	pin,tie,handbag,cufflinks,tie clip	fashion accessories
Use the Input below to identify the common property or characteristic shared by all these concepts.	hamburger,sandwich,hot dogs,hamburgers,hot dog	fast food
Use the Input below to identify the common property or characteristic shared by all these concepts.	fish,taco,pasta,sandwich,fried chicken	fast food items
Use the Input below to identify the common property or characteristic shared by all these concepts.	seals,pin,fillets,buttons,lockers	fasteners
Use the Input below to identify the common property or characteristic shared by all these concepts.	animal fat,fat,myelin,lard,people	fat
Use the Input below to identify the common property or characteristic shared by all these concepts.	butter,olive oil,oil,avocado,margarine	fatty
Use the Input below to identify the common property or characteristic shared by all these concepts.	dying,alarm,stage fright,phobia,scares	fear
Use the Input below to identify the common property or characteristic shared by all these concepts.	externals,attraction,brows,jaws,contours	features
Use the Input below to identify the common property or characteristic shared by all these concepts.	levity,sensitivity,gravity,affection,sentiment	feelings
Use the Input below to identify the common property or characteristic shared by all these concepts.	tolls,dockages,tuition,moorage,origination fees	fees
Use the Input below to identify the common property or characteristic shared by all these concepts.	servals,cheetahs,lynxs,cat,housecat	felines
Use the Input below to identify the common property or characteristic shared by all these concepts.	does,widows,female mammals,businesswomans,mothers	female animals
Use the Input below to identify the common property or characteristic shared by all these concepts.	hay,asparagus,fennel,bamboo,green beans	fibrous
Use the Input below to identify the common property or characteristic shared by all these concepts.	aurora,piglets,donkeys,turtles,cowboy	fictional characters
Use the Input below to identify the common property or characteristic shared by all these concepts.	campuses,corn fields,magnetic fields,irrigated lands,pasture	fields
Use the Input below to identify the common property or characteristic shared by all these concepts.	battering,dogfights,fencing,shocks,beating	fights
Use the Input below to identify the common property or characteristic shared by all these concepts.	figurines,cubes,pentagons,eights,ovals	figures
Use the Input below to identify the common property or characteristic shared by all these concepts.	thriller,comedy,dramas,indie,comedies	film genres
Use the Input below to identify the common property or characteristic shared by all these concepts.	borrowers,short films,mishap,transporters,due dates	films
Use the Input below to identify the common property or characteristic shared by all these concepts.	investment firm,acquirers,trust companies,currency exchanges,brokerage firms	financial institutions
Use the Input below to identify the common property or characteristic shared by all these concepts.	friendly fire,ignition,flames,blazes,bonfires	fire
Use the Input below to identify the common property or characteristic shared by all these concepts.	musket,rifle,gun,pistol,rifles	firearms
Use the Input below to identify the common property or characteristic shared by all these concepts.	antiseptic cream,rubbing alcohol,antibiotic ointment,hydrogen peroxide,band-aid	first aid supplies
Use the Input below to identify the common property or characteristic shared by all these concepts.	turbots,grammas,ides,channel catfishs,perchs	fish
Use the Input below to identify the common property or characteristic shared by all these concepts.	reel,fishing reel,boat,fishing rod,fishing pole	fishing equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	stationary bike,exercise bike,meditation mat,elliptical,weight bench	fitness equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	tables,mat,memo pads,table,roofs	flat
Use the Input below to identify the common property or characteristic shared by all these concepts.	plates,door,counter,bulletin boards,window	flat surfaces
Use the Input below to identify the common property or characteristic shared by all these concepts.	tennis courts,potato chips,roofs,tables,hallways	flats
Use the Input below to identify the common property or characteristic shared by all these concepts.	curry powder,pepper,turmeric,vanilla,paprika	flavorful
Use the Input below to identify the common property or characteristic shared by all these concepts.	rose,dahlia,carnation,lavender,jasmine	floral
Use the Input below to identify the common property or characteristic shared by all these concepts.	drippings,flushs,outflow,inflow,drips	flow
Use the Input below to identify the common property or characteristic shared by all these concepts.	lily,pansy,daffodil,marigold,petunias	flowering plants
Use the Input below to identify the common property or characteristic shared by all these concepts.	florets,dandelions,pasque flowers,marigolds,pansies	flowers
Use the Input below to identify the common property or characteristic shared by all these concepts.	cotton,foam,snow,whipped cream,marshmallows	fluffy
Use the Input below to identify the common property or characteristic shared by all these concepts.	air,water,gasoline,liquids,drinks	fluid
Use the Input below to identify the common property or characteristic shared by all these concepts.	hot air balloon,helicopter,satellite,blimp,airplanes	flying machines
Use the Input below to identify the common property or characteristic shared by all these concepts.	coconuts,pizzas,grit,ham,wedding cakes	food
Use the Input below to identify the common property or characteristic shared by all these concepts.	burgers,bread,cereal,salad,fish	food items
Use the Input below to identify the common property or characteristic shared by all these concepts.	sushi,cake,sandwich,taco,cereal	foods
Use the Input below to identify the common property or characteristic shared by all these concepts.	grain,cocoa,tapiocas,dehydrated food,eggs	foodstuff
Use the Input below to identify the common property or characteristic shared by all these concepts.	sneaker,tennis shoes,shoelaces,hosiery,birkenstock	footwear
Use the Input below to identify the common property or characteristic shared by all these concepts.	cleats,sneakers,basketball shoes,running shoes,hiking shoes	footwear for different activities
Use the Input below to identify the common property or characteristic shared by all these concepts.	boot,sneakers,socks,shoes,dress shoes	footwear items
Use the Input below to identify the common property or characteristic shared by all these concepts.	flip flops,running shoes,socks,boot,shoes	footwear options
Use the Input below to identify the common property or characteristic shared by all these concepts.	soap,toothpaste,vacuum cleaner,sponge,towel	for cleaning
Use the Input below to identify the common property or characteristic shared by all these concepts.	militaries,centrifugal forces,police,coriolis forces,repulsion	forces
Use the Input below to identify the common property or characteristic shared by all these concepts.	mixed forests,riparian forests,monsoon forests,national forests,jungle	forests
Use the Input below to identify the common property or characteristic shared by all these concepts.	coilings,pressing,stretching,molding,splicing	forging
Use the Input below to identify the common property or characteristic shared by all these concepts.	dress shoes,heels,gown,suit,jumpsuit	formal attire
Use the Input below to identify the common property or characteristic shared by all these concepts.	formal shoes,dress shirt,tie,dress,cufflinks	formal wear
Use the Input below to identify the common property or characteristic shared by all these concepts.	splits,granulation,turning,centers,groovings	formations
Use the Input below to identify the common property or characteristic shared by all these concepts.	singulars,roots,strands,grids,abbreviations	forms
Use the Input below to identify the common property or characteristic shared by all these concepts.	paintings,installations,picture,sculpture,pottery	forms of art
Use the Input below to identify the common property or characteristic shared by all these concepts.	article,letter,debate,speech,speaking	forms of communication
Use the Input below to identify the common property or characteristic shared by all these concepts.	credit cards,checkbook,credit card,euro,coins	forms of currency
Use the Input below to identify the common property or characteristic shared by all these concepts.	music,book,opera,tv,play	forms of entertainment
Use the Input below to identify the common property or characteristic shared by all these concepts.	jogging,tai chi,swimming,running,yoga	forms of exercise
Use the Input below to identify the common property or characteristic shared by all these concepts.	id card,driver's license,passport,student id,handwriting	forms of identification
Use the Input below to identify the common property or characteristic shared by all these concepts.	book,podcast,internet,television,music album	forms of media
Use the Input below to identify the common property or characteristic shared by all these concepts.	bills,credit cards,credit card,wallet,coin	forms of payment
Use the Input below to identify the common property or characteristic shared by all these concepts.	trains,skateboard,truck,skateboards,automobile	forms of transportation
Use the Input below to identify the common property or characteristic shared by all these concepts.	suntan lotion,seagulls,bucket,pearl,sandcastles	found at the beach
Use the Input below to identify the common property or characteristic shared by all these concepts.	toothbrush,bathrobe,shower curtain,shower,towel	found in a bathroom
Use the Input below to identify the common property or characteristic shared by all these concepts.	rattlesnake,cactus flower,vulture,prickly pear,lizard	found in a desert
Use the Input below to identify the common property or characteristic shared by all these concepts.	moss,squirrel,acorn,pinecone,elk	found in a forest
Use the Input below to identify the common property or characteristic shared by all these concepts.	plant,bushes,bee,sunflower,trees	found in a garden
Use the Input below to identify the common property or characteristic shared by all these concepts.	table,couch,chair,sofa,pillow	found in a living room
Use the Input below to identify the common property or characteristic shared by all these concepts.	hammock,portable grill,acorn,botanical garden,oak tree	found in a park
Use the Input below to identify the common property or characteristic shared by all these concepts.	photocopier,computer,fax machine,chair,desk	found in an office
Use the Input below to identify the common property or characteristic shared by all these concepts.	great barrier reef,echidna,eucalyptus,wombat,kangaroo island	found in australia
Use the Input below to identify the common property or characteristic shared by all these concepts.	truffle,bear,chipmunk,rabbit,palm leaf	found in forests
Use the Input below to identify the common property or characteristic shared by all these concepts.	lily flower,pumpkin,tree,shrubs,bush	found in gardens
Use the Input below to identify the common property or characteristic shared by all these concepts.	snow monkey,sakura tree,cherry blossom,bonsai tree,maple leaf	found in japan
Use the Input below to identify the common property or characteristic shared by all these concepts.	ant,plant,trees,river,lava	found in nature
Use the Input below to identify the common property or characteristic shared by all these concepts.	sled,puffin,arctic fox,polar bear,penguin	found in the arctic
Use the Input below to identify the common property or characteristic shared by all these concepts.	dune,lizard,sand,tumbleweed,oasis	found in the desert
Use the Input below to identify the common property or characteristic shared by all these concepts.	pine tree,squirrel,fox,boar,maple leaf	found in the forest
Use the Input below to identify the common property or characteristic shared by all these concepts.	panda,chimpanzee,hammock,compass,orangutan	found in the jungle
Use the Input below to identify the common property or characteristic shared by all these concepts.	coral,sardine,salmon,motorboat,jellyfish	found in the ocean
Use the Input below to identify the common property or characteristic shared by all these concepts.	chimpanzee,orangutan,carnivorous plant,monkey,toucan	found in the rainforest
Use the Input below to identify the common property or characteristic shared by all these concepts.	eagle,cloud,turkey vulture,hawk,sun	found in the sky
Use the Input below to identify the common property or characteristic shared by all these concepts.	driftwood,sunglasses,beach chair,s,starfish	found on the beach
Use the Input below to identify the common property or characteristic shared by all these concepts.	incense,perfume,flowers,soap,body lotion	fragrances
Use the Input below to identify the common property or characteristic shared by all these concepts.	lavender,deodorant,incense,flowers,cilantro	fragrant
Use the Input below to identify the common property or characteristic shared by all these concepts.	fenders,casings,wattles,frames,picture frames	frameworks
Use the Input below to identify the common property or characteristic shared by all these concepts.	dinner tastes better when food,cilantro,date tells if dip,basil,celery	fresh
Use the Input below to identify the common property or characteristic shared by all these concepts.	pikes,carps,whitefishs,catfish,lake trouts	freshwater fish
Use the Input below to identify the common property or characteristic shared by all these concepts.	buddies,girlfriends,roommates,brothers,chums	friends
Use the Input below to identify the common property or characteristic shared by all these concepts.	ice cream,frozen yogurt,ice cream cone,sorbet,slushie	frozen treats
Use the Input below to identify the common property or characteristic shared by all these concepts.	plums,cucumbers,ripe fruit,acorns,figs	fruit
Use the Input below to identify the common property or characteristic shared by all these concepts.	apples,citruses,cherry,medlars,almond trees	fruit trees
Use the Input below to identify the common property or characteristic shared by all these concepts.	plum,melons,lemons,blueberry,melon	fruits
Use the Input below to identify the common property or characteristic shared by all these concepts.	red grapes,cherry,olive,apple juice,avocado	fruity
Use the Input below to identify the common property or characteristic shared by all these concepts.	nuclear fuel,paraffin,coke,fire,fuel	fuel
Use the Input below to identify the common property or characteristic shared by all these concepts.	pension funds,banks,pockets,deposits,mutual funds	funds
Use the Input below to identify the common property or characteristic shared by all these concepts.	basidiomycetes,candidas,ringworm,pythiums,mold	funguses
Use the Input below to identify the common property or characteristic shared by all these concepts.	english,compromising principals,comedy,monkeys,humans	funny
Use the Input below to identify the common property or characteristic shared by all these concepts.	squirrels,leopards,otters,sables,foxs	fur
Use the Input below to identify the common property or characteristic shared by all these concepts.	sofas,lamp,recliner,bed,sectionals	furniture
Use the Input below to identify the common property or characteristic shared by all these concepts.	recliner,chair,couch,beanbag chair,desk	furniture for sitting
Use the Input below to identify the common property or characteristic shared by all these concepts.	stool,sofas,desk,loveseat,ottoman	furniture items
Use the Input below to identify the common property or characteristic shared by all these concepts.	coffee table,stool,armchair,bed,couch	furniture pieces
Use the Input below to identify the common property or characteristic shared by all these concepts.	dominos,rubik's cube,chess set,card deck,pinball	games
Use the Input below to identify the common property or characteristic shared by all these concepts.	shovel,watering can,garden hose,hoe,hose	garden tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	bucket,wheelbarrow,hoes,ladder,hedge trimmer	gardening tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	swimsuits,shirts,t shirts,sweater,rompers	garments
Use the Input below to identify the common property or characteristic shared by all these concepts.	chlorine,intestinal gases,storms,poisonous gases,poison gases	gases
Use the Input below to identify the common property or characteristic shared by all these concepts.	rallies,buildings,coveys,parties,turnouts	gathering
Use the Input below to identify the common property or characteristic shared by all these concepts.	altimeters,pressure gauges,tachometers,temperature gauges,anemometers	gauges
Use the Input below to identify the common property or characteristic shared by all these concepts.	third gear,purses,second gear,fishing gear,pinions	gear
Use the Input below to identify the common property or characteristic shared by all these concepts.	agate,emerald,sapphire,diamonds,ruby	gemstones
Use the Input below to identify the common property or characteristic shared by all these concepts.	poetry,novel,prose,romance,poetry book	genres of literature
Use the Input below to identify the common property or characteristic shared by all these concepts.	action,war,horror,comedy,fiction	genres of movies
Use the Input below to identify the common property or characteristic shared by all these concepts.	house,folk,big band,classical,pop	genres of music
Use the Input below to identify the common property or characteristic shared by all these concepts.	canyon,plateau,hill,canyons,valleys	geographic features
Use the Input below to identify the common property or characteristic shared by all these concepts.	mountains,peninsula,valley,volcano,sea	geographical features
Use the Input below to identify the common property or characteristic shared by all these concepts.	globe,triangles,hexagon,sphere,cylinder	geometric shapes
Use the Input below to identify the common property or characteristic shared by all these concepts.	freebies,gift certificates,free lunch,life,contributions	gifts
Use the Input below to identify the common property or characteristic shared by all these concepts.	schooners,art glass,colored glass,plate glass,wineglasses	glass
Use the Input below to identify the common property or characteristic shared by all these concepts.	bourns,acings,safety,ideals,net	goals
Use the Input below to identify the common property or characteristic shared by all these concepts.	sunflower seeds,straw,corn,egg yolk,honey	golden
Use the Input below to identify the common property or characteristic shared by all these concepts.	golf tees,tees,golf ball,golf clubs,golf balls	golf equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	virtue,chocolate,wisdom,rational thinking,acting to make universe better	good
Use the Input below to identify the common property or characteristic shared by all these concepts.	balanced diet,vegetarianism,eating fish,salt water,urine	good for
Use the Input below to identify the common property or characteristic shared by all these concepts.	fruits and vegetables,apple juice,wine in moderation,laughing,vegetables	good for health
Use the Input below to identify the common property or characteristic shared by all these concepts.	fruits,banana,corn,beans and tortillas,rabbits	good to eat
Use the Input below to identify the common property or characteristic shared by all these concepts.	bureaucracy,courts,authoritarian regimes,empires,local government	government
Use the Input below to identify the common property or characteristic shared by all these concepts.	wood grain,wheat,malts,barley,rice	grain
Use the Input below to identify the common property or characteristic shared by all these concepts.	wheat,rice,millet,cereal,bread	grains
Use the Input below to identify the common property or characteristic shared by all these concepts.	barley,oats,pasta,quinoa,cereal	grainy
Use the Input below to identify the common property or characteristic shared by all these concepts.	bluestems,little bluestems,big bluestems,lawns,turf grass	grass
Use the Input below to identify the common property or characteristic shared by all these concepts.	hippopotamus,charcoal,dogs,elephant,clouds	gray
Use the Input below to identify the common property or characteristic shared by all these concepts.	apple,sorrels,grape,lawns,sprouts	green
Use the Input below to identify the common property or characteristic shared by all these concepts.	tree leaves,seaweed,lizard,pear,emerald	green in colour
Use the Input below to identify the common property or characteristic shared by all these concepts.	carrots,brussels sprouts,spinach,okra,cucumber	green vegetables
Use the Input below to identify the common property or characteristic shared by all these concepts.	seaweed,jade,olive,pear,honeydew	greenish
Use the Input below to identify the common property or characteristic shared by all these concepts.	hairbrush,combs,electric shaver,hair tie,mirrors	grooming tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	sand,ore,hills,high ground,clay	ground
Use the Input below to identify the common property or characteristic shared by all these concepts.	actions,resistance,internationalizations,competition,military actions	group actions
Use the Input below to identify the common property or characteristic shared by all these concepts.	social groups,abelian groups,worlds,rare earth,races	groups
Use the Input below to identify the common property or characteristic shared by all these concepts.	parties,societies,cities,classes,families	groups of people
Use the Input below to identify the common property or characteristic shared by all these concepts.	culture,cultivation,suppression,intussusceptions,cohesion	growth
Use the Input below to identify the common property or characteristic shared by all these concepts.	air guns,rifles,revolvers,shotguns,automatic weapons	guns
Use the Input below to identify the common property or characteristic shared by all these concepts.	rowing machine,resistance b,exercise ball,barbell,stepper	gym equipment
Use the Input below to identify the common property or characteristic shared by all these concepts.	eyebrows,hair,blonde,beard,coats	hair
Use the Input below to identify the common property or characteristic shared by all these concepts.	hair extension,hair ties,bandana,toupee,hair pin	hair accessories
Use the Input below to identify the common property or characteristic shared by all these concepts.	blow dryer,pick,hair dryer,hair curlers,comb	hair styling tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	drill,floats,wrenchs,tweezers,picks	hand tools
Use the Input below to identify the common property or characteristic shared by all these concepts.	crops,straps,spoon,bail,knobs	handles
Use the Input below to identify the common property or characteristic shared by all these concepts.	accompaniments,beginnings,episodes,sound,avalanches	happening
Use the Input below to identify the common property or characteristic shared by all these concepts.	people together,person who love,sing when,people cry when,may cry when	happy
Use the Input below to identify the common property or characteristic shared by all these concepts.	poisoning,insultings,animal cruelty,domestic abuse,choking	harmeds
Use the Input below to identify the common property or characteristic shared by all these concepts.	boaters,beanie,cowboy hats,cap,crowns	hats
Use the Input below to identify the common property or characteristic shared by all these concepts.	cats,humans,whales,frogs,pigs	have bones
Use the Input below to identify the common property or characteristic shared by all these concepts.	lakes,worlds,wells,pees,brooks	have water
Use the Input below to identify the common property or characteristic shared by all these concepts.	crown,bicycle helmet,beanies,cap,hats	headwear
Use the Input below to identify the common property or characteristic shared by all these concepts.	pink bottomed mushrooms,carrot,vegetarian food,fruits and vegetables,lawn green when	healthy
Use the Input below to identify the common property or characteristic shared by all these concepts.	cannons,lead,air conditioners,cars,columns	heavies
Use the Input below to identify the common property or characteristic shared by all these concepts.	philanthropies,availings,libations,wings,medallion	helpings
Use the Input below to identify the common property or characteristic shared by all these concepts.	teasels,parsleys,succulents,sugar canes,mint	herbaceous plants
Use the Input below to identify the common property or characteristic shared by all these concepts.	tea,chamomile,basil,sage,lavender	herbal
Use the Input below to identify the common property or characteristic shared by all these concepts.	ruminants,rabbits,cow,sheep,giraffes	herbivores
Use the Input below to identify the common property or characteristic shared by all these concepts.	hyssops,caraways,sages,rosemary,peperomias	herbs
Use the Input below to identify the common property or characteristic shared by all these concepts.	thyme,cilantro,dill,basil,sage	herbs used in cooking
Use the Input below to identify the common property or characteristic shared by all these concepts.	green tea,pomegranates,dark chocolate,blackberries,elderberries	high in antioxidants
Use the Input below to identify the common property or characteristic shared by all these concepts.	pistachios,carrots,almonds,brown rice,green beans	high in fiber
Use the Input below to identify the common property or characteristic shared by all these concepts.	olives,olive oil,olive,nuts,pumpkin seeds	high in healthy fats
Use the Input below to identify the common property or characteristic shared by all these concepts.	beans,steaks,chickpea,soybean,chicken	high in protein
Use the Input below to identify the common property or characteristic shared by all these concepts.	astronomy,knitting,amateur astronomy,rubber stampings,carpentry	hobbies
Use the Input below to identify the common property or characteristic shared by all these concepts.	slaveholders,cardholders,tenants,claws,incumbents	holders
Use the Input below to identify the common property or characteristic shared by all these concepts.	cups,leaks,pores,potholes,nostrils	holes
Use the Input below to identify the common property or characteristic shared by all these concepts.	easter basket,menorah,garl,gingerbread house,kwanzaa candles	holiday decorations
Use the Input below to identify the common property or characteristic shared by all these concepts.	earth days,thanksgivings,anniversaries,labor days,epiphanies	holidays
Use the Input below to identify the common property or characteristic shared by all these concepts.	vase,tube,cup,pumkins,flowerpot	hollow
Use the Input below to identify the common property or characteristic shared by all these concepts.	fridge,microwave,fireplace,vacuums,dryer	home appliances
Use the Input below to identify the common property or characteristic shared by all these concepts.	decorative vase,candles,wallpaper,lamp,lampshade	home decor items
